time,summer
1864,4.75
1865,7.23
1866,5.04
1867,5.74
1868,6.67
1869,5.93
1870,5.37
1871,5.31
1872,5.35
1873,5.17
1874,5.7
1875,6.2
1876,4.95
1877,5.22
1878,5.47
1879,4.33
1880,5.14
1881,5.36
1882,4.37
1883,4.48
1884,5.23
1885,5.5
1886,5.91
1887,5.39
1888,4.66
1889,4.86
1890,4.55
1891,4.38
1892,5.6
1893,5.9
1894,5.23
1895,6.2
1896,3.92
1897,5.25
1898,5.56
1899,5.08
1900,5.69
1901,5.73
1902,4.84
1903,4.45
1904,6.35
1905,5.73
1906,5.33
1907,5.27
1908,5.24
1909,4.67
1910,4.09
1911,6.43
1912,3.86
1913,4.44
1914,4.96
1915,5.4
1916,4.66
1917,5.95
1918,5.39
1919,4.89
1920,5.77
1921,6.52
1922,5.07
1923,5.6
1924,5.44
1925,5.1
1926,5.35
1927,5.72
1928,6.31
1929,6.33
1930,6.02
1931,5.27
1932,5.91
1933,5.74
1934,6.84
1935,5.77
1936,5.43
1937,5.93
1938,5.12
1939,5.38
1940,5.05
1941,4.96
1942,6.41
1943,6.7
1944,6.34
1945,7.01
1946,6.78
1947,8.32
1948,5.75
1949,7.09
1950,6.78
1951,6.03
1952,6.69
1953,6.39
1954,4.79
1955,5.17
1956,5.11
1957,5.19
1958,6.28
1959,6.63
1960,5.44
1961,6.56
1962,5.29
1963,5.79
1964,6.86
1965,4.63
1966,5.94
1967,5.52
1968,5.28
1969,5.68
1970,5.37
1971,6.55
1972,4.46
1973,5.8
1974,5.13
1975,5.84
1976,5.66
1977,4.72
1978,4.58
1979,5.23
1980,4.72
1981,6.22
1982,6.65
1983,6.82
1984,4.73
1985,6.31
1986,6.35
1987,6.19
1988,6.74
1989,6.22
1990,6.5
1991,6.31
1992,7.32
1993,6.64
1994,7.14
1995,6.07
1996,6.06
1997,6.85
1998,6.96
1999,7.23
2000,7.42
2001,6.31
2002,6.77
2003,8.93
2004,6.68
2005,7.06
2006,7.59
2007,7.47
2008,6.79
2009,8.16
2010,6.74
2011,8.14
2012,7.66
2013,7.11
2014,6.89
2015,8.06
2016,7.46
2017,7.73
